Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Zaza Pachulia,Warriors,2016-2017,REG,70,0.582,0.313,0.414,0,0,79.74,10.46,9.48,0,0.33,4.34,3.13,5.74
Derrick Williams,"Heat, Cavaliers",2016-2017,REG,50,0.557,0.5,0.483,0.313,0,39.92,8.23,11.93,39.51,0.41,13.23,10.52,15.41
Luc Mbah a Moute,Clippers,2016-2017,REG,80,0.58,0.333,0.5,0.42,0,51.09,1.63,20.11,27.17,0,11.07,9.51,12.72
David Nwaba,Lakers,2016-2017,REG,20,0.643,0,0.333,0.25,0,87.5,3.75,3.75,5,0,3.26,1.91,5.18
Jordan Farmar,Kings,2016-2017,REG,2,0,0,0,0.444,0,25,0,0,75,0,21.17,26,18.75
Lance Thomas,Knicks,2016-2017,REG,46,0.41,0.273,0.352,0.447,0,34.02,9.02,22.13,34.84,0,14.57,14.69,14.5
Alex Abrines,Thunder,2016-2017,REG,68,0.482,0.313,0.364,0.381,0,16.47,4.71,6.47,71.76,0.59,20.11,19.07,20.79
Bismack Biyombo,Magic,2016-2017,REG,81,0.565,0.375,0.1,0,0,82.99,14.08,2.93,0,0,3.62,2.27,5.11
Domantas Sabonis,Thunder,2016-2017,REG,81,0.464,0.256,0.473,0.321,0,46.57,8.94,11.43,33.06,0,12.25,10.59,13.36
Andrew Harrison,Grizzlies,2016-2017,REG,72,0.445,0.121,0.295,0.285,0,35.46,9.14,12.19,41.83,1.39,15.15,12.32,16.5
Quincy Acy,"Mavericks, Nets",2016-2017,REG,37,0.472,0.25,0.4,0.404,0,31.36,9.47,5.92,52.66,0.59,15.62,14.91,16.11
Jerian Grant,Bulls,2016-2017,REG,63,0.589,0.364,0.4,0.368,0,24.25,14.62,16.61,44.19,0.33,16.17,14.27,17.57
Beno Udrih,Pistons,2016-2017,REG,39,0.551,0.537,0.367,0.393,0,24.87,34.01,24.87,14.21,2.03,13.57,11.34,15.52
Tarik Black,Lakers,2016-2017,REG,67,0.532,0.333,0.143,1,0,91.81,5.12,2.39,0.34,0.34,2.94,1.94,3.99
Jason Smith,Wizards,2016-2017,REG,74,0.597,0.5,0.526,0.468,0,23.4,11.55,41.64,23.4,0,15.24,14.51,16.04
Taurean Prince,Hawks,2016-2017,REG,59,0.481,0.303,0.375,0.327,0,47.2,11.54,5.59,35.31,0.35,11.85,9.59,13.34
Richard Jefferson,Cavaliers,2016-2017,REG,79,0.651,0.417,0.211,0.332,0,36.84,3.51,5.56,53.8,0.29,15.12,10.81,18.57
Quinn Cook,"Mavericks, Pelicans",2016-2017,REG,14,0.6,0.7,0.429,0.423,0,23.08,15.38,21.54,40,0,16.03,14.42,17.69
Georgios Papagiannis,Kings,2016-2017,REG,22,0.667,0.4,0.286,0,0,61.76,29.41,6.86,1.96,0,6.08,4.34,8.2
Boban Marjanovic,Pistons,2016-2017,REG,34,0.573,0.448,0,0,0,78.03,21.97,0,0,0,4.35,3.17,5.77
Brandon Bass,Clippers,2016-2017,REG,52,0.655,0.5,0.333,0.333,0,60.75,27.96,9.68,1.61,0,6.36,4.9,8.34
