Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Russell Westbrook,Thunder,2016-2017,REG,81,0.542,0.416,0.345,0.344,0,33.97,19.23,16.75,30,0.05,13.35,11.29,14.87
James Harden,Rockets,2016-2017,REG,81,0.588,0.399,0.427,0.349,0,34.71,10.65,5.36,49.02,0.26,15.42,12.61,17.63
Isaiah Thomas,Celtics,2016-2017,REG,76,0.541,0.492,0.5,0.38,0,41.79,8.41,6.21,43.52,0.07,13.75,11.85,15.4
Anthony Davis,Pelicans,2016-2017,REG,75,0.606,0.471,0.413,0.303,0,45.88,22.51,22.84,8.64,0.13,10.14,8.12,12.19
DeMar DeRozan,Raptors,2016-2017,REG,74,0.565,0.499,0.385,0.273,0,32.75,28.28,30.94,7.83,0.19,12.11,10.37,13.63
Damian Lillard,Trail Blazers,2016-2017,REG,75,0.535,0.399,0.453,0.372,0,35.95,11.63,13.64,38.64,0.13,14.59,12.73,16.08
DeMarcus Cousins,"Kings, Pelicans",2016-2017,REG,72,0.536,0.311,0.372,0.366,0,53.46,7.2,13.91,25.02,0.42,11.16,9.04,12.91
LeBron James,Cavaliers,2016-2017,REG,74,0.721,0.406,0.307,0.365,0,51.75,12.66,10.2,25.32,0.07,10.55,7.13,14.69
Kawhi Leonard,Spurs,2016-2017,REG,74,0.614,0.462,0.495,0.382,0,26.49,23.13,20.99,29.39,0,14.35,12.71,15.89
Stephen Curry,Warriors,2016-2017,REG,79,0.596,0.439,0.455,0.419,0.05,26.98,6.8,11.58,53.26,1.39,17.88,15.65,19.83
Kyrie Irving,Cavaliers,2016-2017,REG,72,0.545,0.446,0.485,0.406,0,35.19,19.46,14.39,30.75,0.21,13.46,12.17,14.61
Karl-Anthony Towns,Timberwolves,2016-2017,REG,82,0.641,0.446,0.416,0.371,0,58.69,11.83,10.89,18.39,0.2,9.22,7.03,11.82
Kevin Durant,Warriors,2016-2017,REG,62,0.728,0.438,0.555,0.377,0,34.7,19.79,15.11,30.21,0.19,13.35,10.57,16.57
Jimmy Butler,Bulls,2016-2017,REG,76,0.584,0.407,0.366,0.373,0,37.22,19.81,23.16,19.49,0.32,12.37,10.2,14.19
Paul George,Pacers,2016-2017,REG,75,0.572,0.423,0.484,0.393,0,21.03,14.04,28.38,36.48,0.07,16.57,15.29,17.66
Andrew Wiggins,Timberwolves,2016-2017,REG,82,0.572,0.374,0.383,0.36,0,40.08,16.21,25.34,18.25,0.13,12.11,9.97,13.88
Kemba Walker,Hornets,2016-2017,REG,79,0.513,0.395,0.43,0.401,0,35.38,8.9,14.28,41.24,0.21,14.5,13.07,15.64
John Wall,Wizards,2016-2017,REG,78,0.561,0.376,0.389,0.333,0,44.03,13.19,23.87,18.63,0.28,11.42,9.13,13.3
Bradley Beal,Wizards,2016-2017,REG,77,0.582,0.464,0.505,0.405,0,30.96,11.58,15.75,41.48,0.23,15.32,13.56,16.96
CJ McCollum,Trail Blazers,2016-2017,REG,80,0.538,0.522,0.452,0.426,0,28.36,18.86,22.26,30.1,0.42,14.62,13.53,15.62
Giannis Antetokounmpo,Bucks,2016-2017,REG,80,0.645,0.349,0.342,0.282,0,62.42,8.68,14.65,13.85,0.4,8.32,5.05,11.9
Carmelo Anthony,Knicks,2016-2017,REG,74,0.5,0.45,0.456,0.366,0,17.41,23.96,28.42,29.71,0.5,16.09,15.02,16.9
Kyle Lowry,Raptors,2016-2017,REG,60,0.569,0.432,0.4,0.415,0,32.42,9.61,7.1,50.76,0.11,15.98,14.35,17.4
Klay Thompson,Warriors,2016-2017,REG,78,0.608,0.453,0.462,0.414,0,20.19,13.94,18.88,46.99,0,17.17,15.8,18.38
Devin Booker,Suns,2016-2017,REG,78,0.513,0.43,0.381,0.365,0,28.74,20,22.94,28.18,0.14,14.3,12.73,15.45
Gordon Hayward,Jazz,2016-2017,REG,73,0.613,0.449,0.378,0.399,0,31.77,17.75,18.1,32.29,0.09,13.99,11.92,15.85
Blake Griffin,Clippers,2016-2017,REG,61,0.583,0.342,0.436,0.342,0,51.96,8.14,28.35,11.44,0.1,10.18,8.22,12.1
Eric Bledsoe,Suns,2016-2017,REG,66,0.576,0.371,0.332,0.339,0.2,38.67,13.79,17.74,29.32,0.48,13.23,10.59,15.24
Brook Lopez,Nets,2016-2017,REG,75,0.579,0.467,0.326,0.347,0,45.35,18.07,3.67,32.91,0,12.15,9.77,14.28
Mike Conley,Grizzlies,2016-2017,REG,69,0.569,0.4,0.432,0.417,0,30.33,11.4,16.75,40.63,0.89,15.76,14.02,17.24
Goran Dragic,Heat,2016-2017,REG,73,0.572,0.427,0.381,0.406,0,39.91,23.29,11.2,25.6,0,11.93,10.4,13.32
Joel Embiid,76ers,2016-2017,REG,31,0.563,0.333,0.5,0.367,0,48.48,20.28,8.39,22.84,0,10.73,8.93,12.3
Jabari Parker,Bucks,2016-2017,REG,51,0.606,0.286,0.385,0.374,0,53.75,9.47,15.01,21.4,0.37,10.14,7.45,12.72
Marc Gasol,Grizzlies,2016-2017,REG,74,0.567,0.442,0.388,0.391,0,31.47,26.55,18.88,22.93,0.17,13.44,11.91,14.73
Harrison Barnes,Mavericks,2016-2017,REG,79,0.589,0.464,0.399,0.348,0,32.68,23.61,26.43,17.28,0,12.62,10.86,14.16
Kevin Love,Cavaliers,2016-2017,REG,60,0.498,0.447,0.403,0.372,0,33.56,13.15,8.3,44.98,0,14.79,13.25,15.93
Zach LaVine,Timberwolves,2016-2017,REG,47,0.602,0.378,0.411,0.388,0,31.88,6.35,18.19,43.58,0,15.28,13.01,17.22
Rudy Gay,Kings,2016-2017,REG,30,0.592,0.393,0.338,0.382,0,38.24,20.14,16.06,24.89,0.68,12.62,9.97,14.83
Dwyane Wade,Bulls,2016-2017,REG,60,0.535,0.414,0.377,0.31,0,36.23,25.55,23.04,15.18,0,11.84,10.17,13.12
Danilo Gallinari,Nuggets,2016-2017,REG,63,0.611,0.333,0.411,0.388,0,27.07,10.8,18.8,43.33,0,16.11,14.02,17.79
Kristaps Porzingis,Knicks,2016-2017,REG,66,0.563,0.464,0.36,0.358,0,32.52,24.09,11.59,31.81,0,13.62,11.5,15.35
Chris Paul,Clippers,2016-2017,REG,61,0.553,0.522,0.498,0.41,0.5,11.97,23.44,26.11,38.22,0.25,17.61,16.59,18.53
Paul Millsap,Hawks,2016-2017,REG,69,0.531,0.447,0.387,0.312,0,39.92,25.5,9.72,24.76,0.1,11.69,9.63,13.32
Derrick Rose,Knicks,2016-2017,REG,64,0.523,0.413,0.457,0.236,0,56.81,19.34,17.71,5.63,0.51,8.34,6.95,9.58
Dennis Schroder,Hawks,2016-2017,REG,79,0.522,0.395,0.463,0.345,0,46.93,12.21,16.69,24.09,0.08,11.29,9.65,12.66
Lou Williams,"Lakers, Rockets",2016-2017,REG,81,0.54,0.381,0.377,0.367,0.333,33.8,15.55,6.12,44.23,0.3,14.97,13.03,16.42
LaMarcus Aldridge,Spurs,2016-2017,REG,72,0.601,0.39,0.423,0.411,0,35.37,26.41,32.89,5.34,0,11.32,9.93,12.59
Hassan Whiteside,Heat,2016-2017,REG,77,0.61,0.429,0.37,0,0,73.59,18.91,7.5,0,0,5.04,3.78,6.63
George Hill,Jazz,2016-2017,REG,49,0.599,0.49,0.4,0.405,0,30.91,17.19,13.22,38.35,0.33,14.77,12.93,16.46
Evan Fournier,Magic,2016-2017,REG,69,0.541,0.426,0.378,0.358,0,39.96,10.91,10.58,38.34,0.22,13.75,11.58,15.45
Nikola Jokic,Nuggets,2016-2017,REG,73,0.656,0.543,0.552,0.326,0,60.09,13.54,10.15,16.1,0.12,8.96,7.16,11.4
Avery Bradley,Celtics,2016-2017,REG,55,0.573,0.492,0.408,0.39,0,33.51,7.6,23.07,35.7,0.13,14.69,12.72,16.4
Eric Gordon,Rockets,2016-2017,REG,75,0.516,0.286,0.333,0.372,0,26.95,3.46,4.44,64.96,0.2,18.24,16.57,19.38
Tobias Harris,Pistons,2016-2017,REG,82,0.587,0.474,0.487,0.35,0,38.04,21.66,10.83,29.28,0.19,12.78,10.54,14.86
Victor Oladipo,Thunder,2016-2017,REG,67,0.553,0.41,0.44,0.363,0,33.26,14.42,14.42,37.67,0.22,14.11,12.1,15.7
Dion Waiters,Heat,2016-2017,REG,46,0.477,0.25,0.429,0.397,0,40.12,7.24,20.06,32.28,0.3,13.3,12.12,14.16
Wilson Chandler,Nuggets,2016-2017,REG,71,0.592,0.4,0.429,0.34,0,41.53,13.31,10.44,34.5,0.21,12.98,10.3,15.26
D'Angelo Russell,Lakers,2016-2017,REG,63,0.521,0.371,0.406,0.355,0,25.09,15.26,15.38,43.93,0.35,16.36,14.77,17.45
Jrue Holiday,Pelicans,2016-2017,REG,67,0.555,0.491,0.328,0.355,0,42.55,12.09,14,31.24,0.11,12.87,10.52,14.81
Jeff Teague,Pacers,2016-2017,REG,82,0.483,0.463,0.458,0.359,0,46.75,16.43,9.15,27.34,0.33,11.9,10.5,13.01
Nicolas Batum,Hornets,2016-2017,REG,77,0.558,0.427,0.389,0.335,0,16.92,23.08,18.46,41.33,0.21,16.78,15.01,17.98
JJ Redick,Clippers,2016-2017,REG,78,0.541,0.34,0.452,0.422,0,12.34,6,29.56,52.1,0,19.71,19.2,20.12
Gary Harris,Nuggets,2016-2017,REG,57,0.607,0.375,0.388,0.426,0,47.24,5.04,7.72,39.53,0.47,12.73,10.53,14.97
Serge Ibaka,"Magic, Raptors",2016-2017,REG,79,0.613,0.449,0.475,0.39,0,27.37,23.8,16.48,32.35,0,14.59,12.92,16.12
Khris Middleton,Bucks,2016-2017,REG,29,0.539,0.39,0.431,0.433,0,26.73,24.62,17.42,31.23,0,14.62,13.83,15.27
Jordan Clarkson,Lakers,2016-2017,REG,82,0.559,0.418,0.42,0.327,0,40.85,15.49,10.52,33.05,0.09,13,10.66,14.87
Nikola Vucevic,Magic,2016-2017,REG,75,0.562,0.428,0.419,0.307,0,38.28,28.1,26.36,7.27,0,10.84,9.58,11.96
Jeremy Lin,Nets,2016-2017,REG,36,0.489,0.508,0.42,0.377,0,33.75,14.75,12.5,38.5,0.5,14.47,13.04,15.59
Myles Turner,Pacers,2016-2017,REG,81,0.653,0.426,0.429,0.345,0,41.72,14.83,30,13.33,0.11,11.55,9.32,13.88
Tim Hardaway Jr.,Hawks,2016-2017,REG,79,0.613,0.405,0.406,0.361,0,34.08,9.39,10.73,45.14,0.67,15.04,12,17.57
Reggie Jackson,Pistons,2016-2017,REG,52,0.464,0.398,0.44,0.367,0,38.61,18.2,16.12,26.63,0.44,12.89,11.76,13.72
TJ Warren,Suns,2016-2017,REG,66,0.644,0.422,0.397,0.274,0,43.54,27.68,16.73,11.69,0.37,10.2,7.68,12.68
Enes Kanter,Thunder,2016-2017,REG,72,0.608,0.385,0.435,0.135,0,75.85,10.58,8.41,5.02,0.14,5.39,3.69,7.42
Dirk Nowitzki,Mavericks,2016-2017,REG,54,0.54,0.469,0.439,0.378,0,9.29,23.89,35.99,30.83,0,17.54,16.89,18.04
Zach Randolph,Grizzlies,2016-2017,REG,73,0.536,0.412,0.356,0.239,0,55.3,13.62,21.31,9.15,0.62,9.79,7.51,11.66
Jordan Crawford,Pelicans,2016-2017,REG,19,0.727,0.588,0.356,0.389,0,20.18,15.6,20.64,43.58,0,17.03,14.47,19.41
Rudy Gobert,Jazz,2016-2017,REG,81,0.673,0.333,0,0,0,97.75,1.93,0.16,0,0.16,1.34,0.74,2.54
Al Horford,Celtics,2016-2017,REG,68,0.603,0.423,0.45,0.356,0,37.55,18.84,13.78,29.84,0,12.95,10.72,14.96
Markieff Morris,Wizards,2016-2017,REG,76,0.566,0.39,0.4,0.362,0,41.04,21.08,15.78,22.1,0,11.47,9.65,13.01
Marcus Morris,Pistons,2016-2017,REG,79,0.508,0.44,0.457,0.335,0,17.54,21.61,25.37,34.89,0.59,16.79,15.13,17.98
Jae Crowder,Celtics,2016-2017,REG,72,0.68,0.419,0.353,0.397,0,24.72,4.38,16.38,54.38,0.14,17.42,14.85,19.61
Kentavious Caldwell-Pope,Pistons,2016-2017,REG,76,0.516,0.374,0.413,0.357,0,20.28,14.13,18.55,46.17,0.86,17.28,15.54,18.44
Bojan Bogdanovic,"Nets, Wizards",2016-2017,REG,81,0.578,0.301,0.456,0.366,0,37.09,9.83,6.75,46.33,0,14.6,12.3,16.45
Tyler Johnson,Heat,2016-2017,REG,73,0.549,0.351,0.374,0.376,0,36.18,13.89,19.85,29.84,0.24,13.4,11.51,14.86
Will Barton,Nuggets,2016-2017,REG,60,0.537,0.358,0.353,0.372,0,44.98,12.14,7.65,35.08,0.15,12.53,10.67,14
Ryan Anderson,Rockets,2016-2017,REG,72,0.494,0.459,0.338,0.404,0,20.41,4.78,9.17,65.63,0,19.46,18.35,20.26
Andre Drummond,Pistons,2016-2017,REG,81,0.563,0.395,0,0.333,0.25,82.6,16.19,0.44,0.33,0.44,4,2.86,5.29
Dwight Howard,Hawks,2016-2017,REG,74,0.675,0.237,0.261,0,0,89.67,6.23,3.77,0.33,0,2.51,1.26,4.63
Wesley Matthews,Mavericks,2016-2017,REG,73,0.49,0.419,0.36,0.366,0,17.83,13.81,11.81,56.2,0.35,18.24,16.83,19.15
Otto Porter,Wizards,2016-2017,REG,80,0.667,0.479,0.507,0.435,0,26.9,11.71,18.93,42.34,0.12,15.84,14.03,17.77
Darren Collison,Kings,2016-2017,REG,68,0.537,0.451,0.459,0.422,0,35.71,12.75,27.17,24.23,0.14,13.45,12.34,14.46
Nick Young,Lakers,2016-2017,REG,60,0.612,0.38,0.442,0.402,0,10.77,8.04,15.27,65.92,0,20.17,19.08,20.99
Julius Randle,Lakers,2016-2017,REG,74,0.549,0.4,0.318,0.266,0,70.32,12.9,8.52,8.26,0,6.62,4.73,8.41
Sean Kilpatrick,Nets,2016-2017,REG,70,0.51,0.328,0.423,0.349,0,39.24,9.13,9.67,41.01,0.95,14.35,11.92,16.07
Ersan Ilyasova,"Thunder, 76ers, Hawks",2016-2017,REG,82,0.543,0.369,0.468,0.353,0,32.92,9.44,12.47,45.17,0,15.19,13.19,16.71
Robert Covington,76ers,2016-2017,REG,67,0.504,0.35,0.348,0.332,0,38.03,2.74,3.15,56.09,0,15.62,13.13,17.27
James Johnson,Heat,2016-2017,REG,76,0.59,0.457,0.429,0.354,0,47.33,12.26,7.3,32.07,1.04,11.97,9.23,14.5
Seth Curry,Mavericks,2016-2017,REG,70,0.631,0.5,0.424,0.428,0,22.79,11.68,19.8,45.58,0.14,16.87,15.27,18.35
Dario Saric,76ers,2016-2017,REG,81,0.541,0.443,0.277,0.309,0,41.9,6.59,14.79,36.72,0,13.59,10.59,15.67
Elfrid Payton,Magic,2016-2017,REG,82,0.56,0.374,0.406,0.278,0,59.89,13.52,10.55,15.82,0.22,8.75,6.48,10.79
Aaron Gordon,Magic,2016-2017,REG,80,0.632,0.413,0.319,0.293,0,42.13,14,13.08,30.44,0.35,12.26,8.57,15.33
DeAndre Jordan,Clippers,2016-2017,REG,81,0.719,0,0,0,0,99.31,0.35,0,0.35,0,1.04,0.65,2.04
Rodney Hood,Jazz,2016-2017,REG,59,0.453,0.439,0.416,0.375,0,22.56,19.85,11.58,45.71,0.3,16.37,15.25,17.15
Clint Capela,Rockets,2016-2017,REG,65,0.651,0.143,0.5,0,0,98.4,1.25,0.36,0,0,1.63,1.1,2.61
Pau Gasol,Spurs,2016-2017,REG,64,0.56,0.365,0.482,0.544,0,41.06,19.04,22.68,17.05,0.17,11.5,11.01,12
Jamal Crawford,Clippers,2016-2017,REG,82,0.473,0.417,0.437,0.361,0.333,19.49,14.65,29.07,36.1,0.69,17.23,16.22,17.94
Austin Rivers,Clippers,2016-2017,REG,74,0.52,0.492,0.25,0.374,0,45.4,8.37,5.49,40.74,0,13.08,11.14,14.62
Jonas Valanciunas,Raptors,2016-2017,REG,80,0.606,0.462,0.405,1,0,69.7,18.78,11.24,0.14,0.14,5.9,4.88,7.17
Jahlil Okafor,76ers,2016-2017,REG,50,0.587,0.34,0.269,0,0,71.97,22.51,5.52,0,0,5.44,4.02,6.94
Greg Monroe,Bucks,2016-2017,REG,81,0.558,0.386,0.438,0,0,84.85,7.85,6.61,0.41,0.28,4.06,3.08,5.18
Trevor Ariza,Rockets,2016-2017,REG,80,0.611,0.4,0.28,0.344,0,24.91,2.52,3.14,69.18,0.25,18.13,15.09,20.24
Frank Kaminsky,Hornets,2016-2017,REG,75,0.526,0.323,0.261,0.332,0,38.15,11.97,5.74,43.52,0.62,14.68,11.81,16.59
Steven Adams,Thunder,2016-2017,REG,80,0.605,0.381,0,0,0,86.39,12.84,0.46,0.15,0.15,3.32,2.47,4.47
Marvin Williams,Hornets,2016-2017,REG,76,0.547,0.4,0.359,0.349,1,32.95,11.36,5.54,50,0.14,15.26,13,16.9
Ricky Rubio,Timberwolves,2016-2017,REG,75,0.452,0.456,0.434,0.311,0,23.88,12.17,33.74,29.74,0.46,15.67,14.36,16.55
Brandon Knight,Suns,2016-2017,REG,54,0.478,0.391,0.369,0.326,0,34.73,17.56,21.18,26.34,0.19,13.24,11.45,14.43
Terrence Ross,"Raptors, Magic",2016-2017,REG,78,0.633,0.444,0.48,0.364,0,16.06,14.46,16.73,52.21,0.54,18.42,16.54,19.87
Thaddeus Young,Pacers,2016-2017,REG,74,0.598,0.37,0.348,0.385,0,68.31,7.85,6.69,17.01,0.15,7.79,5.9,9.89
Jerryd Bayless,76ers,2016-2017,REG,3,0.583,0.222,0,0.4,0,37.5,28.13,18.75,15.63,0,11.53,6.91,13.95
Kent Bazemore,Hawks,2016-2017,REG,73,0.482,0.316,0.433,0.346,0,35.68,8.04,19.89,36.25,0.14,14.2,12.68,15.25
Emmanuel Mudiay,Nuggets,2016-2017,REG,55,0.456,0.293,0.333,0.32,0,45.01,13.61,9.26,31.76,0.36,12.09,10.07,13.32
Deron Williams,"Mavericks, Cavaliers",2016-2017,REG,64,0.51,0.46,0.473,0.365,0,24.79,14.48,21.8,38.77,0.17,16.02,14.71,17.04
Jose Juan Barea,Mavericks,2016-2017,REG,35,0.489,0.424,0.432,0.358,0,26.82,17.2,12.83,43.15,0,15.85,14.63,16.7
Justise Winslow,Heat,2016-2017,REG,18,0.435,0.29,0.304,0.194,0,50.44,13.6,20.18,15.79,0,10.14,7.78,11.42
Taj Gibson,"Bulls, Thunder",2016-2017,REG,78,0.602,0.354,0.333,0.167,1,67.09,17.94,13.14,1.69,0.14,6.47,4.82,8.23
Courtney Lee,Knicks,2016-2017,REG,77,0.517,0.488,0.447,0.403,0,24.65,17.42,19.97,37.96,0,15.47,14.4,16.37
Terrence Jones,"Pelicans, Bucks",2016-2017,REG,54,0.546,0.413,0.357,0.253,0,66.67,9.41,8.59,15.34,0,8.22,5.55,10.62
Marcin Gortat,Wizards,2016-2017,REG,82,0.631,0.431,0.4,0,0,74.89,22.73,2.23,0.15,0,4.49,3.45,5.93
CJ Miles,Pacers,2016-2017,REG,76,0.567,0.429,0.349,0.41,0,18.66,5.44,12.91,62.52,0.47,19.09,17.61,20.21
Allen Crabbe,Trail Blazers,2016-2017,REG,79,0.57,0.458,0.424,0.444,0,21.95,9.12,22.26,46.68,0,17.17,16.02,18.18
Alex Poythress,76ers,2016-2017,REG,6,0.571,0.429,0,0.316,0,51.85,12.96,0,35.19,0,10.52,7.64,13
Nikola Mirotic,Bulls,2016-2017,REG,70,0.595,0.438,0.306,0.345,0,26.21,7.72,5.79,60.13,0.16,17.46,14.69,19.42
Marcus Smart,Celtics,2016-2017,REG,79,0.448,0.415,0.339,0.292,0,36.73,11.16,7.62,43.27,1.22,15.26,12.28,16.96
Buddy Hield,"Pelicans, Kings",2016-2017,REG,82,0.505,0.456,0.367,0.39,0,27.15,11.75,11.75,49.22,0.13,16.38,15.01,17.4
Marco Belinelli,Hornets,2016-2017,REG,74,0.583,0.459,0.436,0.366,0,17.59,6.03,30.62,45.44,0.33,18.24,16.42,19.62
Wayne Ellington,Heat,2016-2017,REG,62,0.781,0.188,0.478,0.38,0,5.78,2.89,20.4,70.76,0.18,21.6,20.35,22.5
Mason Plumlee,"Trail Blazers, Nuggets",2016-2017,REG,81,0.59,0.4,0.25,0,0,79.68,10.4,8.96,0.16,0.8,4.57,2.48,6.96
Robin Lopez,Bulls,2016-2017,REG,81,0.541,0.395,0.449,0,0,57.68,15.35,26.71,0.26,0,8.31,7.67,8.93
Cody Zeller,Hornets,2016-2017,REG,62,0.627,0.467,0.264,0,0,81.04,6.77,11.96,0.23,0,4.12,2.56,6.2
Tyreke Evans,"Pelicans, Kings",2016-2017,REG,40,0.46,0.3,0.3,0.365,0,54.74,2.71,10.84,31.17,0.54,11.82,10.02,13.05
Jon Leuer,Pistons,2016-2017,REG,75,0.693,0.444,0.354,0.293,0,35.7,23.65,14.84,25.81,0,12.45,9.09,15.57
Malcolm Brogdon,Bucks,2016-2017,REG,75,0.523,0.354,0.375,0.406,0,50.95,10.32,8.89,29.68,0.16,11.1,9.47,12.47
Draymond Green,Warriors,2016-2017,REG,76,0.538,0.211,0.25,0.309,0,50.69,5.82,3.06,40.12,0.31,12.28,8.71,14.84
Jusuf Nurkic,"Nuggets, Trail Blazers",2016-2017,REG,65,0.542,0.182,0.333,0,0,87.24,4.13,8.44,0.19,0,3.77,2.82,4.76
Josh Richardson,Heat,2016-2017,REG,53,0.5,0.515,0.33,0.335,0,23.53,13.33,19.02,43.92,0.2,16.43,14.45,17.73
Tony Parker,Spurs,2016-2017,REG,63,0.51,0.415,0.483,0.333,0,45.52,16.52,25.83,12.13,0,10.61,9.77,11.34
Kyle Korver,"Hawks, Cavaliers",2016-2017,REG,67,0.625,0.355,0.51,0.453,0,4.68,6.04,19.49,69.79,0,21.6,21.13,22.01
Yogi Ferrell,"Nets, Mavericks",2016-2017,REG,46,0.49,0.395,0.343,0.386,0,26.4,10.91,17.77,44.67,0.25,16.22,14.99,17.05
Maurice Harkless,Trail Blazers,2016-2017,REG,77,0.591,0.375,0.385,0.349,0,62.34,2.56,4.17,30.77,0.16,9.37,6.73,12.03
Trevor Booker,Nets,2016-2017,REG,71,0.589,0.433,0.326,0.321,0,68.81,10.17,7.8,13.22,0,7.32,5.37,9.41
Gorgui Dieng,Timberwolves,2016-2017,REG,82,0.581,0.448,0.434,0.41,0,47.42,17.58,28.64,5.91,0.45,9.93,8.32,11.55
Shabazz Muhammad,Timberwolves,2016-2017,REG,78,0.602,0.355,0.292,0.329,1,53.67,17.83,4,24.33,0.17,9.82,7.09,12.34
Jamal Murray,Nuggets,2016-2017,REG,82,0.548,0.375,0.341,0.345,0,30.4,11,11.69,45.8,1.1,16,13.17,17.93
Ty Lawson,Kings,2016-2017,REG,69,0.569,0.483,0.4,0.301,0,39.08,17.05,21.07,21.65,1.15,12.69,10.2,14.76
Richaun Holmes,76ers,2016-2017,REG,57,0.66,0.4,0.452,0.355,0,62.86,10.92,7.52,18.45,0.24,8.17,5.49,11.57
Jeremy Lamb,Hornets,2016-2017,REG,62,0.627,0.469,0.403,0.283,0,35.98,19.51,14.63,29.47,0.41,13.32,10.18,15.98
Kenneth Faried,Nuggets,2016-2017,REG,61,0.585,0.394,0.091,0,0,87.98,7.93,2.64,0.96,0.48,3.53,2.09,5.27
E'Twaun Moore,Pelicans,2016-2017,REG,73,0.605,0.378,0.4,0.376,0,33.87,19.19,13.71,33.06,0.16,13.84,11.78,15.56
Patrick Beverley,Rockets,2016-2017,REG,67,0.497,0.412,0.222,0.384,0,34.57,9.43,3.33,52.5,0.18,15.4,13.86,16.51
Derrick Favors,Jazz,2016-2017,REG,50,0.568,0.45,0.341,0.3,0,53.24,23.98,20.38,2.4,0,7.94,6.3,9.49
Patty Mills,Spurs,2016-2017,REG,80,0.585,0.45,0.393,0.413,0,17.04,3.22,22.51,57.23,0,18.76,17.43,19.81
Nik Stauskas,76ers,2016-2017,REG,80,0.484,0.409,0.261,0.37,0,29.25,7,7.31,56.28,0.16,16.71,15.05,17.81
Michael Beasley,Bucks,2016-2017,REG,56,0.62,0.475,0.451,0.419,0,47.41,24.44,17.53,10.62,0,9.75,8.29,11.42
Brandon Ingram,Lakers,2016-2017,REG,79,0.517,0.328,0.394,0.298,0,38.56,18.77,15.98,26.54,0.15,12.37,10.1,13.9
Ish Smith,Pistons,2016-2017,REG,81,0.494,0.461,0.429,0.272,0,43.58,17.11,25.27,13.77,0.27,11.28,9.49,12.69
Jeff Green,Magic,2016-2017,REG,69,0.527,0.398,0.342,0.285,0,36.02,15.77,13.62,33.33,1.25,14.33,11.15,16.4
Cory Joseph,Raptors,2016-2017,REG,80,0.542,0.355,0.448,0.358,0,41.36,16.67,21.67,20.3,0,11.93,10.51,13.1
Gerald Henderson,76ers,2016-2017,REG,72,0.551,0.409,0.368,0.355,0,28.42,23.13,17.3,30.78,0.36,14.12,12.05,15.65
Marquese Chriss,Suns,2016-2017,REG,82,0.575,0.308,0.327,0.323,0,50.63,6.17,7.75,35.28,0.16,11.41,8.3,13.95
Michael Kidd-Gilchrist,Hornets,2016-2017,REG,81,0.549,0.462,0.35,0.143,0,57.54,15.07,25.93,1.13,0.32,7.77,5.74,9.64
Joe Johnson,Jazz,2016-2017,REG,78,0.547,0.422,0.378,0.407,1,22.28,20.51,15.71,41.35,0.16,16.1,15.04,16.92
Jameer Nelson,Nuggets,2016-2017,REG,75,0.568,0.375,0.43,0.391,0,26.87,7.96,20.07,44.94,0.17,16.59,14.9,17.94
